datetime_from_local,datetime_to_local,value,parameter
2025-07-28T00:00:00+04:00,2025-07-29T00:00:00+04:00,10.4,pm25
2025-07-29T00:00:00+04:00,2025-07-30T00:00:00+04:00,11.4,pm25
2025-07-30T00:00:00+04:00,2025-07-31T00:00:00+04:00,13.5,pm25
2025-07-31T00:00:00+04:00,2025-08-01T00:00:00+04:00,13.2,pm25
2025-08-01T00:00:00+04:00,2025-08-02T00:00:00+04:00,13.5,pm25
2025-08-02T00:00:00+04:00,2025-08-03T00:00:00+04:00,12.6,pm25
2025-08-03T00:00:00+04:00,2025-08-04T00:00:00+04:00,12.4,pm25
2025-08-04T00:00:00+04:00,2025-08-05T00:00:00+04:00,11.1,pm25
2025-08-05T00:00:00+04:00,2025-08-06T00:00:00+04:00,10.3,pm25
2025-08-06T00:00:00+04:00,2025-08-07T00:00:00+04:00,8.32,pm25
2025-08-07T00:00:00+04:00,2025-08-08T00:00:00+04:00,8.83,pm25
2025-08-08T00:00:00+04:00,2025-08-09T00:00:00+04:00,9.12,pm25
2025-08-09T00:00:00+04:00,2025-08-10T00:00:00+04:00,16.3,pm25
2025-08-10T00:00:00+04:00,2025-08-11T00:00:00+04:00,11.7,pm25
2025-08-11T00:00:00+04:00,2025-08-12T00:00:00+04:00,10.4,pm25
2025-08-12T00:00:00+04:00,2025-08-13T00:00:00+04:00,9.78,pm25
2025-08-13T00:00:00+04:00,2025-08-14T00:00:00+04:00,8.61,pm25
2025-08-14T00:00:00+04:00,2025-08-15T00:00:00+04:00,18.4,pm25
2025-08-15T00:00:00+04:00,2025-08-16T00:00:00+04:00,8.68,pm25
2025-08-16T00:00:00+04:00,2025-08-17T00:00:00+04:00,7.34,pm25
2025-08-17T00:00:00+04:00,2025-08-18T00:00:00+04:00,7.46,pm25
2025-08-18T00:00:00+04:00,2025-08-19T00:00:00+04:00,8.98,pm25
2025-08-19T00:00:00+04:00,2025-08-20T00:00:00+04:00,7.37,pm25
2025-08-20T00:00:00+04:00,2025-08-21T00:00:00+04:00,9.07,pm25
2025-08-21T00:00:00+04:00,2025-08-22T00:00:00+04:00,8.08,pm25
2025-08-22T00:00:00+04:00,2025-08-23T00:00:00+04:00,7.24,pm25
2025-08-23T00:00:00+04:00,2025-08-24T00:00:00+04:00,8.95,pm25
2025-08-24T00:00:00+04:00,2025-08-25T00:00:00+04:00,8.81,pm25
2025-08-25T00:00:00+04:00,2025-08-26T00:00:00+04:00,8.82,pm25
2025-08-26T00:00:00+04:00,2025-08-27T00:00:00+04:00,9.26,pm25
